SKU,Price,Supplier,Discontinued,Stock Status,product_specifications
BRD 70516L,$527.31,Best Buy,No,Long Lead Time,
BRD 70524SI,$612.13,Best Buy,No,Long Lead Time,
BRD 73022L,$536.41,Best Buy,No,Long Lead Time,
BRD 762415,$196.91,Best Buy,No,Long Lead Time,
BRD 80420,"$1,493.13",Best Buy,No,Long Lead Time,
BRD 80450,$703.56,Best Buy,No,Long Lead Time,
BRD 80500,$990.42,Best Buy,No,Long Lead Time,
BRD 86010,$291.55,Best Buy,No,Long Lead Time,
BRD 86012,$190.91,Best Buy,No,Long Lead Time,
BRD 86014,$291.55,Best Buy,No,Long Lead Time,
BRD 86016,$291.55,Best Buy,No,Long Lead Time,
BRD 86018,$291.55,Best Buy,No,Long Lead Time,
BRD 86020,$291.55,Best Buy,No,Long Lead Time,
BRD 86022,$291.55,Best Buy,No,Long Lead Time,
BRD 86024,$273.38,Best Buy,No,Long Lead Time,
BRD 86026,$291.55,Best Buy,No,Long Lead Time,
BRD 86028,$291.55,Best Buy,No,Long Lead Time,
BRD 86030,$291.55,Best Buy,No,Long Lead Time,
BRD 86032,$291.55,Best Buy,No,Long Lead Time,
BRD 86034,$291.55,Best Buy,No,Long Lead Time,
BRD 86036,$291.55,Best Buy,No,Long Lead Time,
BRD 86038,$291.55,Best Buy,No,Long Lead Time,
BRD 86040,$291.55,Best Buy,No,Long Lead Time,
BRD 882284C,$460.83,Best Buy,No,Long Lead Time,
BRD 882286C,$594.16,Best Buy,No,Long Lead Time,
BRD 882286SI,$306.52,Best Buy,No,Long Lead Time,
BRD 883000C,$31.68,Best Buy,No,In Stock,
BRD 900016A,$489.78,Best Buy,No,Long Lead Time,
BRD 92100,"$1,965.29",Best Buy,No,Long Lead Time,
BRD 92110,"$1,811.55",Best Buy,No,Long Lead Time,
BRD 92220,$614.90,Best Buy,No,Long Lead Time,
BRD 92300,"$1,851.36",Best Buy,No,Long Lead Time,
BRD 92740,"$1,999.49",Best Buy,No,Long Lead Time,
BRD A300414AC,$75.64,Best Buy,No,Long Lead Time,
BRD A303414AC,$828.53,Best Buy,No,Long Lead Time,
BRD A800061C,$16.63,Best Buy,No,In Stock,
BRD A800360C,$305.13,Best Buy,No,Long Lead Time,
BRD A897216C,$440.14,Best Buy,Yes,In Stock,
BRD A897516C,$38.31,Best Buy,No,In Stock,
BRD A902116C,$4.03,Best Buy,No,Long Lead Time,
BRD A902416C,$41.34,Best Buy,No,In Stock,
BRD A942214C,$614.07,Best Buy,No,Long Lead Time,
BRD BFF20,$117.48,Best Buy,No,In Stock,
BRD C226614,$64.83,Best Buy,No,Long Lead Time,
BRD FOL0102,$231.56,Best Buy,No,In Stock,
BRD FOL0105,$186.45,Best Buy,No,In Stock,
BRD LH0029,$434.78,Best Buy,No,Long Lead Time,
BRD LH0031,$435.00,Best Buy,No,Long Lead Time,
BRD NDB-600,$80.38,Best Buy,No,In Stock,
BRD PIC0222,$723.57,Best Buy,No,Long Lead Time,
BRD PWF030,$501.91,Best Buy,No,Long Lead Time,
BRD VUPD1012,$449.86,Best Buy,No,Long Lead Time,
BRD VUPD1214,$449.86,Best Buy,No,In Stock,
BRD VUPD1416,$449.86,Best Buy,No,Long Lead Time,
BRD VUPD68,$449.86,Best Buy,No,In Stock,
BRM 20104,$37.67,Best Buy,No,Long Lead Time,
BRM 20105,$41.32,Best Buy,No,Long Lead Time,
BSN 0102600,$8.67,Best Buy,No,In Stock,
BSN 0102700,$10.00,Best Buy,No,In Stock,
BSN 0102800,$12.01,Best Buy,No,In Stock,
BSN 0102900,$14.06,Best Buy,No,Long Lead Time,
BSN 01959,$9.51,Best Buy,Yes,In Stock,
BSN 02195,$15.26,Best Buy,No,In Stock,
BSN 02197,$22.64,Best Buy,No,In Stock,
BSN 02198,$21.76,Best Buy,No,In Stock,
BSN 02199,$23.75,Best Buy,No,In Stock,
BSN 0232200,$56.25,Best Buy,No,Long Lead Time,
BSN 0232400,$51.57,Best Buy,No,Long Lead Time,
BSN 04412001,$4.30,Best Buy,No,In Stock,
BSN 04413001,$103.24,Best Buy,No,In Stock,
BSN 04414001,$132.46,Best Buy,No,Long Lead Time,
BSN 09046,$3.32,Best Buy,No,In Stock,
BSN 09047,$4.32,Best Buy,Yes,In Stock,
BSN 101313,$39.23,Best Buy,No,In Stock,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length"": ""4.88\"""", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Small""}"
BSN 101314,$43.15,Best Buy,No,Long Lead Time,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length"": ""4.88\"""", ""Length Type"": ""Long"", ""Product Type"": ""Arm Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Medium""}"
BSN 101319,$41.75,Best Buy,No,In Stock,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Regular"", ""Product Type"": ""Hand & Wrist Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Small""}"
BSN 101320,$41.75,Best Buy,No,In Stock,"{""Brand"": ""JOBST"", ""Color"": ""Beige"", ""Compression"": ""20-30 mmHg"", ""Gender"": ""Unisex"", ""Length Type"": ""Regular"", ""Product Type"": ""Hand & Wrist Wear"", ""Quantity"": ""1 Pair"", ""Size"": ""Medium""}"
